header-arecord,address*,_new_address,fqdn*,_new_fqdn,comment,create_ptr,creator,ddns_principal,ddns_protected,disabled,ttl,view
arecord,1.2.3.0,,abc.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.1,,abc1.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.2,,abc2.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.3,,abc3.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.4,,abc4.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.5,,abc5.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.6,,abc6.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.7,,abc7.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.8,,abc8.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.9,,abc9.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.10,,abc10.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.11,,abc11.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.12,,abc12.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.13,,abc13.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.14,,abc14.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.15,,abc15.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.16,,abc16.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.17,,abc17.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.18,,abc18.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.19,,abc19.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.20,,abc20.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
arecord,1.2.3.21,,abc21.test.com,,,FALSE,STATIC,,FALSE,FALSE,,default
